Typhoon_ID,Time_Step,Relative_Path,Split
1,0,Output/Typhoon_1_3D.npz,Train
1,1,Output/Typhoon_1_3D.npz,Train
1,2,Output/Typhoon_1_3D.npz,Train
1,3,Output/Typhoon_1_3D.npz,Train
1,4,Output/Typhoon_1_3D.npz,Train
1,5,Output/Typhoon_1_3D.npz,Train
1,6,Output/Typhoon_1_3D.npz,Train
1,7,Output/Typhoon_1_3D.npz,Train
1,8,Output/Typhoon_1_3D.npz,Train
1,9,Output/Typhoon_1_3D.npz,Train
1,10,Output/Typhoon_1_3D.npz,Train
1,11,Output/Typhoon_1_3D.npz,Train
1,12,Output/Typhoon_1_3D.npz,Train
1,13,Output/Typhoon_1_3D.npz,Train
1,14,Output/Typhoon_1_3D.npz,Train
1,15,Output/Typhoon_1_3D.npz,Train
1,16,Output/Typhoon_1_3D.npz,Train
1,17,Output/Typhoon_1_3D.npz,Train
1,18,Output/Typhoon_1_3D.npz,Train
1,19,Output/Typhoon_1_3D.npz,Train
1,20,Output/Typhoon_1_3D.npz,Train
1,21,Output/Typhoon_1_3D.npz,Train
1,22,Output/Typhoon_1_3D.npz,Train
1,23,Output/Typhoon_1_3D.npz,Train
1,24,Output/Typhoon_1_3D.npz,Train
1,25,Output/Typhoon_1_3D.npz,Train
1,26,Output/Typhoon_1_3D.npz,Train
1,27,Output/Typhoon_1_3D.npz,Train
1,28,Output/Typhoon_1_3D.npz,Train
1,29,Output/Typhoon_1_3D.npz,Train
1,30,Output/Typhoon_1_3D.npz,Train
1,31,Output/Typhoon_1_3D.npz,Train
1,32,Output/Typhoon_1_3D.npz,Train
1,33,Output/Typhoon_1_3D.npz,Train
1,34,Output/Typhoon_1_3D.npz,Train
1,35,Output/Typhoon_1_3D.npz,Train
1,36,Output/Typhoon_1_3D.npz,Train
1,37,Output/Typhoon_1_3D.npz,Train
1,38,Output/Typhoon_1_3D.npz,Train
1,39,Output/Typhoon_1_3D.npz,Train
1,40,Output/Typhoon_1_3D.npz,Train
1,41,Output/Typhoon_1_3D.npz,Train
1,42,Output/Typhoon_1_3D.npz,Train
1,43,Output/Typhoon_1_3D.npz,Train
1,44,Output/Typhoon_1_3D.npz,Train
1,45,Output/Typhoon_1_3D.npz,Train
1,46,Output/Typhoon_1_3D.npz,Train
1,47,Output/Typhoon_1_3D.npz,Train
1,48,Output/Typhoon_1_3D.npz,Train
1,49,Output/Typhoon_1_3D.npz,Train
1,50,Output/Typhoon_1_3D.npz,Train
1,51,Output/Typhoon_1_3D.npz,Train
1,52,Output/Typhoon_1_3D.npz,Train
1,53,Output/Typhoon_1_3D.npz,Train
1,54,Output/Typhoon_1_3D.npz,Train
1,55,Output/Typhoon_1_3D.npz,Train
1,56,Output/Typhoon_1_3D.npz,Train
1,57,Output/Typhoon_1_3D.npz,Train
1,58,Output/Typhoon_1_3D.npz,Train
1,59,Output/Typhoon_1_3D.npz,Train
1,60,Output/Typhoon_1_3D.npz,Train
1,61,Output/Typhoon_1_3D.npz,Train
1,62,Output/Typhoon_1_3D.npz,Train
1,63,Output/Typhoon_1_3D.npz,Train
1,64,Output/Typhoon_1_3D.npz,Train
1,65,Output/Typhoon_1_3D.npz,Train
1,66,Output/Typhoon_1_3D.npz,Train
1,67,Output/Typhoon_1_3D.npz,Train
1,68,Output/Typhoon_1_3D.npz,Train
1,69,Output/Typhoon_1_3D.npz,Train
1,70,Output/Typhoon_1_3D.npz,Train
1,71,Output/Typhoon_1_3D.npz,Train
1,72,Output/Typhoon_1_3D.npz,Train
1,73,Output/Typhoon_1_3D.npz,Train
1,74,Output/Typhoon_1_3D.npz,Train
1,75,Output/Typhoon_1_3D.npz,Train
1,76,Output/Typhoon_1_3D.npz,Train
1,77,Output/Typhoon_1_3D.npz,Train
1,78,Output/Typhoon_1_3D.npz,Train
1,79,Output/Typhoon_1_3D.npz,Train
