0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
-9999,-9999,-9999,-9999,-9999,-9999,21805,21805,21805,21805,21805,21805,21805,21805,21805,21805,20210,20210,20210,20210,20210,12885,12885,20778,20778,20778,20778,20778,20778,20778,48815,48815,48815,48815,48815,48815,48815,48815,48815,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,21805,-9999,-9999,21805,21805,21805,21805,21805,21805,21805,20210,20210,20210,12885,12885,12885,12885,12885,12885,12885,12885,48815,48815,48815,48815,48815,48815,48815,48815,48815,48815,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21805,21805,21805,21805,37053,21805,21805,21805,21805,20210,20210,20210,12885,12885,12885,12885,12885,12885,12885,48815,48815,48815,48815,48815,48815,48815,48815,48815,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37053,37053,37053,37053,37053,37053,37053,37053,22478,22478,22478,22478,12885,12885,11490,11490,12885,12885,48815,48815,48815,48815,48815,48815,48815,48815,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37053,37053,37053,37053,37053,22478,22478,22478,22478,22478,12885,11490,11490,11490,11490,11490,22255,48815,48815,48815,22255,22255,48815,48815,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,37053,37053,37053,22478,22478,22478,22478,22478,22478,22478,22478,11490,11490,11490,11490,11490,22255,22255,22255,22255,22255,22255,22255,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22478,22478,22478,22478,22478,22478,22478,22478,22478,22478,27234,11490,11490,11490,27234,22255,22255,22255,22255,22255,22255,22255,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,22478,22478,22478,22478,22478,27234,27234,27234,27234,27234,27234,27234,27234,27234,22255,22255,22255,22255,24165,24165,24165,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,22478,22478,22478,27234,27234,27234,27234,27234,27234,71349,71349,27234,22255,22255,24165,24165,24165,24165,24165,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,17521,17521,17521,27234,27234,27234,71349,71349,71349,71349,71349,24165,24165,24165,24165,24165,24165,24165,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,17521,17521,17521,17521,71349,71349,71349,71349,71349,71349,71349,24165,24165,24165,24165,24165,24165,24165,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,17521,17521,17521,17521,43322,71349,71349,71349,71349,71349,43975,43975,24165,43975,43975,43975,24165,24165,24165,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,17521,17521,17521,43322,71349,71349,71349,71349,71349,43975,43975,43975,43975,43975,43975,43975,43975,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17521,17521,17521,43322,43322,43322,71349,71349,71349,71349,43975,43975,43975,43975,43975,43975,43975,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43322,43322,43322,43322,43322,43322,43322,43322,71349,71349,71349,27201,27201,27201,43975,43975,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43322,43322,43322,43322,109030,109030,109030,109030,109030,27201,27201,27201,27201,27201,43975,43975,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,43322,109030,109030,109030,109030,109030,109030,109030,27201,27201,27201,27201,27201,27201,27201,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,29193,109030,109030,109030,109030,109030,109030,109030,27201,27201,27201,27201,27201,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,29193,29193,109030,109030,109030,109030,109030,109030,109030,109030,27201,27201,27201,27201,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,29193,29193,29193,29193,109030,109030,109030,109030,109030,16285,16285,16285,27201,27201,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,29193,29193,29193,29193,109030,109030,109030,16285,16285,16285,16285,16285,16285,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,29193,29193,29193,29193,109030,109030,16285,16285,16285,16285,16285,16285,16285,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,-9999,-9999,29193,29193,29193,109030,109030,109030,109030,16285,16285,16285,16285,16285,16285,16285,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,29193,29193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16285,16285,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,29193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,29193,29193,29193,-9999,29193,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
